@relation data2

@attribute SEHIRLER {ADANA,AFYON,AGRI,AMASYA,ANKARA,ANTALYA,AYDIN,BALIKESIR,BOLU,BURDUR,BURSA,CANAKKALE,CANKIRI,DUZCE,ERZURUM,ESKISEHIR,GAZIANTEP,GIRESUN,HATAY,ISTANBUL,IZMIR,KARS,KASTAMONU,KASYSERI,KILIS,KOCAELI,KONYA,KUTAHYA,MANISA,MERSIN,MUGLA,NEVSEHIR,NIGDE,ORDU,OSMANIYE,SAMSUN,TEKIRDAG,TOKAT,TRABZON,SINOP,USAK,ZONGULDAK}
@attribute SO2 numeric
@attribute NO2 numeric
@attribute CO numeric
@attribute O3 numeric
@attribute PM10 numeric
@attribute 'HAVA KALITESI' {iyi,kotu}

@data
BURDUR,24,76.8,1638.08,15.18,71.03,kotu
BURDUR,10.86,62.77,1355.37,21.17,66.64,iyi
BURDUR,9.32,40,1129.83,33.59,52.94,iyi
BURDUR,5.67,32.92,1196.85,48.67,57.04,iyi
BURDUR,5.78,55.16,1536.18,27.24875,44.39,iyi
BURDUR,6.1,38.9,1230.8,31.14,47.9,iyi
BURDUR,10.73,52.46,1551.23,27.24875,53.75,iyi
BURDUR,17.62,75.44,1844.9,22.68,91.7,kotu
BURSA,20.596667,92.418889,3682.711111,14.664286,70.585556,kotu
BURSA,7.54,111.81,3278.02,14.664286,70.93,kotu
BURSA,18.28,117.42,3834.24,14.664286,81.62,kotu
BURSA,22.47,111.06,4002,10.18,99.83,kotu
BURSA,23.29,99.12,4018.14,10.44,73.94,kotu
BURSA,22.1,83.64,3728.69,11.59,56.78,iyi
BURSA,22.63,73.98,3535.83,18.24,70.16,kotu
BURSA,22.39,61.32,3272.55,24.08,42.14,iyi
BURSA,23.01,79.08,3576.96,14.91,58.43,iyi
BURSA,23.66,94.34,3897.97,13.21,81.44,kotu
CANAKKALE,9.22,29.297143,481.34,33.18,32.64,iyi
CANAKKALE,5.44,29.297143,553.21,26.1,42.01,iyi
CANAKKALE,11.1,29.297143,567.75,31.05,43.45,iyi
CANAKKALE,10.81,37.32,614.78,30.68,53.17,iyi
CANAKKALE,10.24,36.76,703.55,36.99,62.22,iyi
CANAKKALE,12.2,38.29,544.41,32.92,38.685,iyi
CANAKKALE,8.23,21.77,558.09,37.29,38.685,iyi
CANAKKALE,11.32,21,470.08,40.38,22.56,iyi
CANAKKALE,8.54,20.34,476.5,37.64,26.82,iyi
CANAKKALE,10.31,29.6,507.43,29.63,26.61,iyi
CANKIRI,6.5,30.12,849.37,35.66,35.79,iyi
CANKIRI,13.13,38.97,1270.96,19.38,60.42,iyi
CANKIRI,24.53,34.38,963.43,24.2,56.93,iyi
CANKIRI,22.53,41.87,1364.78,19.61,72.64,kotu
CANKIRI,15.81,39.84,1557.2,15.87,73.04,kotu
CANKIRI,22.62,39.48,1479.93,15.98,67.39,iyi
CANKIRI,19.83,41.07,1594.28,11.05,97.2,kotu
CANKIRI,11.44,38.93,1290.54,16.9,64.87,iyi
CANKIRI,7.96,33.31,1313.34,18.4,38.95,iyi
CANKIRI,10.34,40.85,1378.1,16.92,50.34,iyi
DUZCE,10.1,13.94,1170.16,18.87,69.26,iyi
DUZCE,10.16,17.84,1124.64,14.13,51.79,iyi
DUZCE,11.42,21.4,1492.49,19.13,80.72,kotu
